;Gene Symbol;Entrez;logFC;AveExpr;t;P.Value;adj.P.Val;B
17043843;TSPAN13;27075;0.2324197244;1.1329994982;0.5751944845;0.5715922087;0.882657704;-5.6243318605
16876303;PNRC2;55629;0.2518546586;5.8045257194;0.5751038704;0.5716523095;0.882657704;-5.6243805919
17024980;FBXO5;26271;-0.2605571382;3.581782313;-0.5750272681;0.5717031193;0.882657704;-5.6244217821
17108585;MIR1184-1//MIR1184-2//MIR1184-3;100302111;0.2285855019;8.8045490417;0.574929847;0.5717677415;0.882657704;-5.6244741593
17112253;TTC3P1;286495;0.2690040738;1.6376216422;0.5748800984;0.5718007426;0.882657704;-5.6245009026
16672669;LY9;4063;-0.2382125809;2.6307125858;-0.5742216182;0.5722376421;0.8828624528;-5.6248546717
16935018;CSNK1E//RP3-449O17.1;102800317;-0.2030411773;0.9209391744;-0.5742123966;0.5722437617;0.8828624528;-5.6248596232
17033956;TRIM26;7726;0.2856975315;3.1543051681;0.57419209;0.5722572379;0.8828624528;-5.6248705266
17088164;SLC31A2;1318;-0.2020946973;1.8743088401;-0.5741646257;0.5722754644;0.8828624528;-5.6248852726
16874432;IL4I1//NUP62;259307;0.2583229412;3.3063478003;0.5740542316;0.5723487297;0.8828624528;-5.624944538
16834327;NAGLU//RP11-400F19.8;4669;0.2694860278;2.0892816935;0.5738739997;0.5724683547;0.8829150248;-5.6250412724
16887866;SCRN3;79634;-0.2552305324;1.7846367196;-0.5736705944;0.5726033757;0.8829150248;-5.6251504092
16776048;FKSG29;100131561;-0.2847245775;2.6381813377;-0.5736274236;0.5726320348;0.8829150248;-5.6251735677
17088293;RP11-168K11.3;---;-0.2216109777;1.7504125977;-0.5734286611;0.5727639931;0.8829408039;-5.6252801697
16843462;PEX12;5193;0.3144201279;2.633291273;0.5733519765;0.5728149081;0.8829408039;-5.6253212883
16675174;C1orf27;54953;-0.2447464028;3.4909377992;-0.5730018748;0.5730473887;0.8831710625;-5.625508947
16859952;RFXANK;8625;-0.2438940169;3.1335779814;-0.5728593294;0.573142058;0.8831888926;-5.6255853213
16884126;RANBP2;5903;0.2462777616;5.5294295856;0.5726830796;0.5732591226;0.8832412228;-5.6256797288
